day_of_week,hour_of_day,baseline
0.0,0.0,0.052
0.0,1.0,0.03125
0.0,2.0,0.02125
0.0,3.0,0.022
0.0,4.0,0.05
0.0,5.0,0.09725
0.0,6.0,0.25125
0.0,7.0,0.40725
0.0,8.0,0.50549996
0.0,9.0,0.5845
0.0,10.0,0.7185
0.0,11.0,0.74275
0.0,12.0,0.724
0.0,13.0,0.66425
0.0,14.0,0.57625
0.0,15.0,0.55425
0.0,16.0,0.6795
0.0,17.0,0.73825
0.0,18.0,0.85625
0.0,19.0,0.71424997
0.0,20.0,0.56700003
0.0,21.0,0.36075002
0.0,22.0,0.1945
0.0,23.0,0.101
1.0,0.0,0.0495
1.0,1.0,0.0305
1.0,2.0,0.02175
1.0,3.0,0.0205
1.0,4.0,0.051
1.0,5.0,0.09975
1.0,6.0,0.2675
1.0,7.0,0.407
1.0,8.0,0.51524997
1.0,9.0,0.61275005
1.0,10.0,0.7125
1.0,11.0,0.76049995
1.0,12.0,0.70925
1.0,13.0,0.63125
1.0,14.0,0.589
1.0,15.0,0.54975
1.0,16.0,0.6845
1.0,17.0,0.719
1.0,18.0,0.82075
1.0,19.0,0.668
1.0,20.0,0.571
1.0,21.0,0.36575
1.0,22.0,0.2025
1.0,23.0,0.101
2.0,0.0,0.0505
2.0,1.0,0.029
2.0,2.0,0.0215
2.0,3.0,0.0215
2.0,4.0,0.0505
2.0,5.0,0.103
2.0,6.0,0.258
2.0,7.0,0.388
2.0,8.0,0.496
2.0,9.0,0.601
2.0,10.0,0.6945
2.0,11.0,0.7085
2.0,12.0,0.7305
2.0,13.0,0.61
2.0,14.0,0.5965
2.0,15.0,0.5445
2.0,16.0,0.663
2.0,17.0,0.797
2.0,18.0,0.8585
2.0,19.0,0.672
2.0,20.0,0.5695
2.0,21.0,0.3515
2.0,22.0,0.1905
2.0,23.0,0.105
3.0,0.0,0.05
3.0,1.0,0.0295
3.0,2.0,0.0215
3.0,3.0,0.0215
3.0,4.0,0.0495
3.0,5.0,0.1015
3.0,6.0,0.259
3.0,7.0,0.399
3.0,8.0,0.4775
3.0,9.0,0.57475
3.0,10.0,0.66550004
3.0,11.0,0.752
3.0,12.0,0.70774996
3.0,13.0,0.64175
3.0,14.0,0.605
3.0,15.0,0.57525
3.0,16.0,0.577
3.0,17.0,0.72725
3.0,18.0,0.80050004
3.0,19.0,0.70475
3.0,20.0,0.5535
3.0,21.0,0.34425
3.0,22.0,0.199
3.0,23.0,0.10075
4.0,0.0,0.05
4.0,1.0,0.02925
4.0,2.0,0.02175
4.0,3.0,0.021
4.0,4.0,0.050750002
4.0,5.0,0.10125
4.0,6.0,0.24399999
4.0,7.0,0.39425
4.0,8.0,0.5035
4.0,9.0,0.604
4.0,10.0,0.71424997
4.0,11.0,0.74249995
4.0,12.0,0.69299996
4.0,13.0,0.597
4.0,14.0,0.59424996
4.0,15.0,0.55225
4.0,16.0,0.68824995
4.0,17.0,0.75549996
4.0,18.0,0.7905
4.0,19.0,0.69475
4.0,20.0,0.53499997
4.0,21.0,0.34974998
4.0,22.0,0.20025
4.0,23.0,0.11975
5.0,0.0,0.064
5.0,1.0,0.03675
5.0,2.0,0.026250001
5.0,3.0,0.02725
5.0,4.0,0.0625
5.0,5.0,0.122250006
5.0,6.0,0.316
5.0,7.0,0.50325
5.0,8.0,0.6105
5.0,9.0,0.75975
5.0,10.0,0.82925
5.0,11.0,0.9
5.0,12.0,0.86399996
5.0,13.0,0.8165
5.0,14.0,0.7875
5.0,15.0,0.71325
5.0,16.0,0.8105
5.0,17.0,0.91275
5.0,18.0,0.948
5.0,19.0,0.8805
5.0,20.0,0.6615
5.0,21.0,0.44725
5.0,22.0,0.24849999
5.0,23.0,0.12475
6.0,0.0,0.062
6.0,1.0,0.0365
6.0,2.0,0.026
6.0,3.0,0.024500001
6.0,4.0,0.062
6.0,5.0,0.121
6.0,6.0,0.3145
6.0,7.0,0.50425
6.0,8.0,0.66024995
6.0,9.0,0.76900005
6.0,10.0,0.88275003
6.0,11.0,0.913
6.0,12.0,0.86375
6.0,13.0,0.8255
6.0,14.0,0.724
6.0,15.0,0.6825
6.0,16.0,0.81775
6.0,17.0,0.8845
6.0,18.0,0.92875004
6.0,19.0,0.87724996
6.0,20.0,0.69075
6.0,21.0,0.45975
6.0,22.0,0.241
6.0,23.0,0.099999994
